                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2211,                 1.1058,                  1.343,                0.64374,                0.71282,                0.73123,                0.40187,                   1.53,                 1.2249,                  1.546,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.2226,                 1.0815,                 1.3369,                0.63974,                0.71564,                0.73221,                0.40246,                 1.5218,                  1.211,                 1.5352,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.2226,                 1.0815,                 1.3369,                0.63974,                0.71564,                0.73221,                0.40246,                 1.5218,                  1.211,                 1.5352,              0.0001486,              0.0001486,              0.0001486
                     89,                   1.24,                 1.1094,                 1.3587,                0.62198,                0.71219,                0.72323,                0.39999,                 1.5272,                 1.2225,                 1.5509,              0.0001387,              0.0001387,              0.0001387
                     89,                   1.24,                 1.1094,                 1.3587,                0.62198,                0.71219,                0.72323,                0.39999,                 1.5272,                 1.2225,                 1.5509,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.2098,                  1.095,                 1.3416,                0.65496,                 0.6866,                0.72878,                 0.4013,                 1.5255,                 1.2125,                 1.5508,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.2098,                  1.095,                 1.3416,                0.65496,                 0.6866,                0.72878,                 0.4013,                 1.5255,                 1.2125,                 1.5508,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.2158,                 1.0871,                 1.3549,                0.66683,                0.68184,                0.72848,                0.39392,                 1.5443,                 1.2352,                 1.5717,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.2158,                 1.0871,                 1.3549,                0.66683,                0.68184,                0.72848,                0.39392,                 1.5443,                 1.2352,                 1.5717,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.1831,                  1.013,                 1.3256,                0.68121,                0.68161,                0.73949,                0.40884,                 1.5314,                 1.2131,                 1.5629,               0.000109,               0.000109,               0.000109
                     92,                 1.1831,                  1.013,                 1.3256,                0.68121,                0.68161,                0.73949,                0.40884,                 1.5314,                 1.2131,                 1.5629,               0.000109,               0.000109,               0.000109
                     93,                 1.1881,                0.99868,                 1.3329,                0.66565,                0.69877,                0.74366,                0.41049,                 1.5226,                 1.1901,                 1.5496,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.1881,                0.99868,                 1.3329,                0.66565,                0.69877,                0.74366,                0.41049,                 1.5226,                 1.1901,                 1.5496,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.1826,                 1.0072,                 1.3345,                0.70126,                0.66621,                0.74128,                0.41124,                 1.5175,                 1.1899,                   1.55,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.1826,                 1.0072,                 1.3345,                0.70126,                0.66621,                0.74128,                0.41124,                 1.5175,                 1.1899,                   1.55,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.1719,                0.99537,                 1.3314,                0.67514,                0.68908,                0.74617,                0.40524,                  1.531,                 1.1937,                 1.5621,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.1719,                0.99537,                 1.3314,                0.67514,                0.68908,                0.74617,                0.40524,                  1.531,                 1.1937,                 1.5621,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.1632,                 0.9705,                 1.3172,                0.73162,                0.66416,                0.74601,                0.41064,                 1.5232,                 1.1882,                 1.5414,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.1632,                 0.9705,                 1.3172,                0.73162,                0.66416,                0.74601,                0.41064,                 1.5232,                 1.1882,                 1.5414,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.1483,                0.94788,                 1.3174,                0.73552,                0.67697,                0.75137,                0.41199,                 1.5222,                 1.1798,                 1.5465,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.1483,                0.94788,                 1.3174,                0.73552,                0.67697,                0.75137,                0.41199,                 1.5222,                 1.1798,                 1.5465,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                   1.16,                0.97943,                 1.3344,                0.70102,                 0.6844,                0.74723,                0.41031,                 1.5327,                 1.1821,                 1.5545,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                   1.16,                0.97943,                 1.3344,                0.70102,                 0.6844,                0.74723,                0.41031,                 1.5327,                 1.1821,                 1.5545,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.1302,                0.96845,                 1.3043,                0.71998,                0.67323,                0.74709,                0.41455,                 1.5177,                  1.172,                  1.552,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.1302,                0.96845,                 1.3043,                0.71998,                0.67323,                0.74709,                0.41455,                 1.5177,                  1.172,                  1.552,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.1325,                0.92797,                 1.3007,                0.72946,                0.66141,                0.74596,                0.41208,                 1.5146,                 1.1716,                 1.5522,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.1325,                0.92797,                 1.3007,                0.72946,                0.66141,                0.74596,                0.41208,                 1.5146,                 1.1716,                 1.5522,               2.98e-05,               2.98e-05,               2.98e-05
