                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.4462,                 1.4615,                 1.5023,                0.79599,                0.48611,                 0.6278,                0.31913,                 1.5979,                 1.5431,                 1.6035,              0.0007129,              0.0007129,              0.0007129
                     32,                  1.461,                 1.4634,                 1.4988,                0.59226,                0.66158,                0.68096,                0.33779,                 1.6122,                 1.4401,                 1.6274,               0.000703,               0.000703,               0.000703
                     32,                  1.461,                 1.4634,                 1.4988,                0.59226,                0.66158,                0.68096,                0.33779,                 1.6122,                 1.4401,                 1.6274,               0.000703,               0.000703,               0.000703
                     33,                  1.417,                 1.4145,                 1.4729,                0.53973,                0.66845,                0.63302,                0.31177,                 1.6371,                 1.5314,                 1.6417,              0.0006931,              0.0006931,              0.0006931
                     33,                  1.417,                 1.4145,                 1.4729,                0.53973,                0.66845,                0.63302,                0.31177,                 1.6371,                 1.5314,                 1.6417,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.4243,                 1.4299,                 1.4733,                0.56726,                0.66409,                0.63814,                0.32029,                 1.6211,                 1.4616,                 1.6198,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.4243,                 1.4299,                 1.4733,                0.56726,                0.66409,                0.63814,                0.32029,                 1.6211,                 1.4616,                 1.6198,              0.0006832,              0.0006832,              0.0006832
                     35,                  1.401,                 1.4183,                  1.468,                0.64339,                0.64052,                0.66027,                0.33591,                 1.5971,                 1.5142,                 1.6139,              0.0006733,              0.0006733,              0.0006733
                     35,                  1.401,                 1.4183,                  1.468,                0.64339,                0.64052,                0.66027,                0.33591,                 1.5971,                 1.5142,                 1.6139,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3697,                 1.3886,                 1.4509,                0.60155,                0.53491,                0.64818,                0.33248,                  1.616,                 1.4679,                 1.6178,              0.0006634,              0.0006634,              0.0006634
